Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796366,2.842697,12233.539697,12233.539697,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796367,2.861716,12233.558716,12233.558716,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796368,2.866349,12233.563349,12233.563349,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796369,2.884200,12233.581200,12233.581200,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796370,2.964664,12233.661664,12233.661664,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796371,2.987215,12233.684215,12233.684215,1, 0, 0, 1,27.603059,-82.196778,-233.896959,2,2,-0.143850
13685,796372,2.990990,12233.687990,12233.687990,1, 0, 0, 1,20.908919,9.488542,-167.477795,2,2,-0.089260
13685,796373,3.018282,12233.715282,12233.715282,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796374,3.021876,12233.718876,12233.718876,1, 0, 0, 1,-37.854590,-27.506234,-480.294781,2,3,-0.150538
13685,796375,3.025330,12233.722330,12233.722330,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796376,3.040927,12233.737927,12233.737927,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796377,3.045212,12233.742212,12233.742212,1, 0, 0, 1,48.501279,-140.454139,-62.662076,2,2,-0.055748
13685,796378,3.052945,12233.749945,12233.749945,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13685,796379,3.066802,12233.763802,12233.763802,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796380,3.086272,12233.783272,12233.783272,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796381,3.091298,12233.788298,12233.788298,1, 0, 0, 1,48.345577,38.787716,807.471538,2,3,0.127102
13685,796382,3.103295,12233.800295,12233.800295,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796383,3.128093,12233.825093,12233.825093,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796384,3.162178,12233.859178,12233.859178,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796385,3.171494,12233.868494,12233.868494,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796386,3.204735,12233.901735,12233.901735,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796387,3.208588,12233.905588,12233.905588,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796388,3.214275,12233.911275,12233.911275,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796389,3.268776,12233.965776,12233.965776,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796390,3.277215,12233.974215,12233.974215,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796391,3.289104,12233.986104,12233.986104,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796392,3.305067,12234.002067,12234.002067,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796393,3.309266,12234.006266,12234.006266,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796394,3.334015,12234.031015,12234.031015,1, 0, 0, 1,-3.643574,14.880954,520.287936,2,2,-0.121550
13685,796395,3.352190,12234.049190,12234.049190,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796396,3.397323,12234.094323,12234.094323,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796397,3.400961,12234.097961,12234.097961,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796398,3.407577,12234.104577,12234.104577,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796399,3.413639,12234.110639,12234.110639,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796400,3.433080,12234.130080,12234.130080,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,3,-99.000000
13685,796401,3.440322,12234.137322,12234.137322,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796402,3.452515,12234.149515,12234.149515,1, 0, 0, 1,-21.393187,28.245298,-49.132192,2,2,-0.179465
13685,796403,3.477255,12234.174255,12234.174255,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796404,3.494079,12234.191079,12234.191079,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796405,3.500391,12234.197391,12234.197391,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
